Chr,Gene,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr1,PF3D7_0104300,0.292,-2.606,1345,10
chr1,PF3D7_0104400,0.993,-2.596,132,4
chr1,PF3D7_0104500,0.998,-0.62,48,3
chr1,PF3D7_0104600,0.12,-3.09,620,14
chr1,PF3D7_0104700,0.999,-2.672,291,16
chr1,PF3D7_0104800,1,0.781,133,9
chr1,PF3D7_0105000,,,10,3
chr1,PF3D7_0105100,0.12,-3.051,48,3
chr1,PF3D7_0105200,0.8,-2.879,153,5
chr1,PF3D7_0105300,0.141,-3.448,51,2
chr1,PF3D7_0105400,0.929,-2.495,49,1
chr1,PF3D7_0105500,0.161,-2.717,111,3
chr1,PF3D7_0105600,0.12,-3.042,532,18
chr1,PF3D7_0105700,1,-1.851,1628,34
chr1,PF3D7_0105800,0.184,-2.713,268,15
chr1,PF3D7_0105900,0.886,-2.507,181,4
chr1,PF3D7_0106000,0.188,-2.706,314,16
chr1,PF3D7_0106100,0.122,-2.999,37,3
chr1,PF3D7_0106200,1,0.391,107,7
chr1,PF3D7_0106300,0.131,-2.942,440,23
chr1,PF3D7_0106400,0.154,0,68,3
chr1,PF3D7_0106500,0.464,-2.487,1179,32
chr1,PF3D7_0106600,0.964,-2.138,137,5
chr1,PF3D7_0106700,0.137,-2.771,629,23
chr1,PF3D7_0106800,0.264,-2.504,26,1
chr1,PF3D7_0106900,0.124,-2.887,370,19
chr1,PF3D7_0107000,0.132,-2.849,12,1
chr1,PF3D7_0107100,0.199,-3.365,185,7
chr1,PF3D7_0107200,1,0.564,148,7
chr1,PF3D7_0107300,1,-2.108,144,4
chr1,PF3D7_0107400,1,-2.433,33,1
chr1,PF3D7_0107500,0.261,-2.596,390,21
chr1,PF3D7_0107600,1,-2.835,943,30
chr1,PF3D7_0107700,0.479,-1.084,122,3
chr1,PF3D7_0107800,1,-0.289,896,28
chr1,PF3D7_0107900,0.124,-3.186,96,4
chr1,PF3D7_0108000,0.123,-3.212,19,1
chr1,PF3D7_0108100,0.133,-2.879,213,10
chr1,PF3D7_0108300,1,-2.611,972,18
chr1,PF3D7_0108400,1,-2.123,74,6
chr1,PF3D7_0108500,1,0,269,20
chr1,PF3D7_0108600,0.12,-3.19,165,8
chr1,PF3D7_0108700,1,0.113,482,8
chr1,PF3D7_0108800,0.143,-3.102,63,3
chr1,PF3D7_0108900,,,5,1
chr1,PF3D7_0109000,0.122,-3.121,25,1
chr1,PF3D7_0109100,1,-2.243,221,9
chr1,PF3D7_0109200,0.125,-3.001,39,3
chr1,PF3D7_0109300,0.168,-2.779,55,1
chr1,PF3D7_0109400,0.24,-3.364,72,4
chr1,PF3D7_0109500,0.659,-2.369,19,1
chr1,PF3D7_0109600,0.247,-3.269,45,3
chr1,PF3D7_0109700,0.157,-2.586,37,4
chr1,PF3D7_0109800,0.143,-3.147,190,4
chr1,PF3D7_0109850,,,263,9
chr1,PF3D7_0109950,,,46,3
chr1,PF3D7_0110000,1,-1.016,107,4
chr1,PF3D7_0110100,1,-2.697,178,8
chr1,PF3D7_0110200,0.208,-2.71,27,3
chr1,PF3D7_0110400,0.486,-2.733,54,3
chr1,PF3D7_0110500,1,-2.257,377,5
chr1,PF3D7_0110600,0.2,-2.765,343,21
chr1,PF3D7_0110700,0.157,-3.013,78,2
chr1,PF3D7_0110800,0.199,-3.59,28,4
chr1,PF3D7_0110900,0.12,-3.014,62,2
chr1,PF3D7_0111000,1,-2.224,742,24
chr1,PF3D7_0111200,0.339,0,17,1
chr1,PF3D7_0111300,0.812,-2.874,540,27
chr1,PF3D7_0111400,0.126,-3.209,197,5
chr1,PF3D7_0111500,0.12,-3.031,92,9
chr1,PF3D7_0111600,0.435,-3.525,89,4
chr1,PF3D7_0111700,0.916,-3.898,22,3
chr1,PF3D7_0111800,1,0.607,172,9
chr1,PF3D7_0111900,0.121,0,9,2
chr1,PF3D7_0112000,0.121,-3.108,39,2
chr1,PF3D7_0112100,0.754,-2.189,15,1
chr1,PF3D7_0112200,1,-1.001,210,21
chr1,PF3D7_0112400,,,5,1
chr1,PF3D7_0112700,,,1,1
chr1,PF3D7_0112800,0.559,-2.078,60,9
chr1,PF3D7_0112900,0.995,-2.003,38,3
chr1,PF3D7_0113000,1,-2.159,898,39
chr1,PF3D7_0113100,1,0.981,3657,20
chr1,PF3D7_0113200,1,-1.287,1861,85
chr1,PF3D7_0113300,0.952,-2.159,735,15
chr1,PF3D7_0113400,0.987,-2.317,219,10
chr1,PF3D7_0113600,1,-1.467,,
chr1,PF3D7_0113700,1,-0.674,97,10
chr1,PF3D7_0113800,1,-2.076,118,1
chr1,PF3D7_0113900,0.256,-2.691,87,6
chr1,PF3D7_0114000,1,-1.456,246,9
chr1,PF3D7_0114100,1,0.315,37,5
chr1,PF3D7_0114200,1,-1.199,190,7
chr1,PF3D7_0114300,0.476,-3.206,,
chr1,PF3D7_0114400,0.782,-2.196,,
chr1,PF3D7_0114500,0.184,-1.528,217,49
chr1,PF3D7_0114600,0.199,-2.528,,
chr1,PF3D7_0114700,0.987,-2.356,548,31
chr1,PF3D7_0114750,,,16,2
chr1,PF3D7_0114800,0.119,-3.122,127,14
chr1,PF3D7_0114900,0.982,-2.415,,
chr1,PF3D7_0115000,0.999,-2.039,,
chr1,PF3D7_0115100,0.338,-1.693,,
chr1,PF3D7_0115200,0.754,-2.168,,
chr1,PF3D7_0115300,1,0,,
chr1,PF3D7_0115400,1,-2.412,,
chr1,PF3D7_0115500,0.816,-2.37,,
chr1,PF3D7_0115600,0.936,-2.159,,
chr2,PF3D7_0200100,1,-2.061,,
chr2,PF3D7_0200200,0.565,-2.598,,
chr2,PF3D7_0200300,0.864,-2.259,,
chr2,PF3D7_0200400,1,-1.003,,
chr2,PF3D7_0200500,0.561,-2.232,,
chr2,PF3D7_0200600,0.408,-2.486,,
chr2,PF3D7_0200700,0.243,-2.818,,
chr2,PF3D7_0200800,0.687,-2.03,,
chr2,PF3D7_0200900,0.357,-2.467,,
chr2,PF3D7_0201000,0.438,-2.425,,
chr2,PF3D7_0201100,0.128,0,,
chr2,PF3D7_0201200,1,0.778,,
chr2,PF3D7_0201300,0.853,-2.121,,
chr2,PF3D7_0201400,0.673,-2.309,,
chr2,PF3D7_0201500,0.196,-2.845,,
chr2,PF3D7_0201600,1,-2.037,,
chr2,PF3D7_0201700,0.214,-2.696,,
chr2,PF3D7_0201800,1,-2.465,,
chr2,PF3D7_0201900,1,-0.927,,
chr2,PF3D7_0202000,1,-1.359,,
chr2,PF3D7_0202100,0.383,-2.163,164,41
chr2,PF3D7_0202200,0.65,-3.049,86,8
chr2,PF3D7_0202300,0.121,-2.952,99,4
chr2,PF3D7_0202400,1,-2.252,431,20
chr2,PF3D7_0202500,1,0,30,4
chr2,PF3D7_0202600,0.377,-2.621,779,30
chr2,PF3D7_0202700,0.144,-3.162,80,7
chr2,PF3D7_0202800,0.725,-2.454,51,5
chr2,PF3D7_0202900,0.995,-2.624,106,7
chr2,PF3D7_0203000,1,-1.887,776,15
chr2,PF3D7_0203100,1,-1.603,916,19
chr2,PF3D7_0203200,0.971,-2.198,299,7
chr2,PF3D7_0203300,0.156,-3.229,66,3
chr2,PF3D7_0203400,0.998,-2.427,24,3
chr2,PF3D7_0203500,,,1,1
chr2,PF3D7_0203600,0.81,-1.784,308,13
chr2,PF3D7_0203700,0.391,-2.522,192,12
chr2,PF3D7_0203800,1,-0.195,81,1
chr2,PF3D7_0203900,0.315,-2.642,294,15
chr2,PF3D7_0204000,1,-2.227,388,9
chr2,PF3D7_0204100,0.146,-2.863,719,18
chr2,PF3D7_0204200,0.689,-2.589,25,1
chr2,PF3D7_0204300,1,-2.318,528,12
chr2,PF3D7_0204400,0.987,0,26,2
chr2,PF3D7_0204500,0.736,0.461,139,7
chr2,PF3D7_0204600,1,-1.594,677,24
chr2,PF3D7_0204700,0.294,-2.474,41,3
chr2,PF3D7_0204800,0.997,-2.714,184,16
chr2,PF3D7_0204900,0.321,-2.529,112,4
chr2,PF3D7_0205000,1,-0.036,334,8
chr2,PF3D7_0205100,1,0.742,429,11
chr2,PF3D7_0205200,1,-1.971,95,2
chr2,PF3D7_0205300,0.999,-1.296,429,14
chr2,PF3D7_0205400,0.131,-2.907,73,5
chr2,PF3D7_0205500,0.409,-3.578,12,2
chr2,PF3D7_0205600,0.149,-3.187,97,3
chr2,PF3D7_0205700,0.298,-3.275,59,4
chr2,PF3D7_0205800,0.243,-3.728,10,1
chr2,PF3D7_0205900,0.127,-3.218,124,5
chr2,PF3D7_0206000,1,-2.445,865,20
chr2,PF3D7_0206100,0.272,-3.284,72,5
chr2,PF3D7_0206200,1,-2.212,63,3
chr2,PF3D7_0206300,1,-0.769,,
chr2,PF3D7_0206500,0.886,-2.766,507,11
chr2,PF3D7_0206600,1,0,11,3
chr2,PF3D7_0206700,0.121,-2.994,102,2
chr2,PF3D7_0206800,0.988,-2.005,386,13
chr2,PF3D7_0206900,0.988,-2.098,76,6
chr2,PF3D7_0207000,0.251,-2.64,397,64
chr2,PF3D7_0207100,1,-2.608,673,31
chr2,PF3D7_0207200,0.195,-3.514,31,2
chr2,PF3D7_0207300,0.998,-2.593,865,65
chr2,PF3D7_0207400,1,-1.186,579,30
chr2,PF3D7_0207500,0.252,-2.761,411,23
chr2,PF3D7_0207600,0.2,-2.737,426,40
chr2,PF3D7_0207700,1,0.947,1128,45
chr2,PF3D7_0207800,1,-2.533,379,12
chr2,PF3D7_0207900,1,-0.99,1503,35
chr2,PF3D7_0208000,0.98,-2.772,453,17
chr2,PF3D7_0208100,1,-0.081,981,36
chr2,PF3D7_0208200,0.372,-2.666,61,4
chr2,PF3D7_0208300,0.122,-3.013,72,2
chr2,PF3D7_0208400,1,-1.355,1175,22
chr2,PF3D7_0208500,0.231,-3.465,55,3
chr2,PF3D7_0208600,0.183,-2.794,241,9
chr2,PF3D7_0208700,0.872,-1.746,39,1
chr2,PF3D7_0208800,0.156,-2.83,99,9
chr2,PF3D7_0208900,1,-1.524,1274,33
chr2,PF3D7_0209000,1,-0.851,3551,20
chr2,PF3D7_0209100,1,-1.821,142,11
chr2,PF3D7_0209200,0.262,-2.615,91,3
chr2,PF3D7_0209300,0.135,-2.98,66,2
chr2,PF3D7_0209400,0.993,-2.677,168,4
chr2,PF3D7_0209500,1,-1.47,210,12
chr2,PF3D7_0209600,0.136,-2.867,228,12
chr2,PF3D7_0209700,0.128,-2.864,165,10
chr2,PF3D7_0209800,0.257,-2.606,13,1
chr2,PF3D7_0210000,0.121,0,3,1
chr2,PF3D7_0210100,0.126,-3.711,12,1
chr2,PF3D7_0210200,1,-2.859,918,9
chr2,PF3D7_0210300,0.12,-2.961,44,1
chr2,PF3D7_0210400,0.251,-3.272,21,1
chr2,PF3D7_0210500,0.122,-3.092,528,22
chr2,PF3D7_0210600,0.234,-2.616,81,2
chr2,PF3D7_0210700,0.21,-3.264,74,7
chr2,PF3D7_0210800,0.394,-3.606,282,22
chr2,PF3D7_0210900,0.822,-1.794,72,1
chr2,PF3D7_0211100,1,-2.519,457,19
chr2,PF3D7_0211200,0.385,-2.515,30,2
chr2,PF3D7_0211300,0.122,-3.074,59,1
chr2,PF3D7_0211400,0.855,-2.982,58,4
chr2,PF3D7_0211500,1,-1.135,370,9
chr2,PF3D7_0211600,0.12,-3.101,34,3
chr2,PF3D7_0211700,1,-2.366,1259,16
chr2,PF3D7_0211800,0.184,-2.765,114,6
chr2,PF3D7_0211900,0.143,-3.129,147,6
chr2,PF3D7_0212000,0.138,-3.212,67,7
chr2,PF3D7_0212100,0.234,-2.686,653,23
chr2,PF3D7_0212200,0.125,-2.93,62,2
chr2,PF3D7_0212300,0.122,-3.662,7,1
chr2,PF3D7_0212400,0.91,-2.893,1939,15
chr2,PF3D7_0212500,0.12,-3.048,2257,29
chr2,PF3D7_0212600,0.966,-2.553,62,2
chr2,PF3D7_0212700,0.139,-3.01,227,9
chr2,PF3D7_0212800,1,-2.497,678,28
chr2,PF3D7_0212900,0.999,-0.947,36,3
chr2,PF3D7_0213000,0.135,-3.027,46,5
chr2,PF3D7_0213100,0.238,-2.617,19,1
chr2,PF3D7_0213200,0.141,-3.225,48,3
chr2,PF3D7_0213300,0.124,0,12,1
chr2,PF3D7_0213400,1,0.959,99,6
chr2,PF3D7_0213500,1,-1.843,199,6
chr2,PF3D7_0213600,1,-0.387,963,24
chr2,PF3D7_0213700,0.976,-2.087,9,2
chr2,PF3D7_0213800,1,-0.384,173,9
chr2,PF3D7_0213900,0.184,-2.747,460,17
chr2,PF3D7_0214000,0.182,-3.405,94,2
chr2,PF3D7_0214100,0.209,-2.744,432,8
chr2,PF3D7_0214200,0.255,0,32,2
chr2,PF3D7_0214300,1,0.214,697,9
chr2,PF3D7_0214400,0.227,-2.768,336,14
chr2,PF3D7_0214500,0.121,-3.055,108,6
chr2,PF3D7_0214600,1,-2.581,940,26
chr2,PF3D7_0214700,0.378,-2.578,98,6
chr2,PF3D7_0214800,0.123,-3.051,776,30
chr2,PF3D7_0214900,0.937,-2.316,417,9
chr2,PF3D7_0215000,1,0.232,679,37
chr2,PF3D7_0215100,0.363,0,42,4
chr2,PF3D7_0215200,0.746,-2.274,40,5
chr2,PF3D7_0215300,1,-1.796,448,48
chr2,PF3D7_0215400,1,-1.789,200,10
chr2,PF3D7_0215500,1,-0.99,48,1
chr2,PF3D7_0215600,0.539,-2.467,164,9
chr2,PF3D7_0215700,0.166,-2.783,110,2
chr2,PF3D7_0215800,0.128,-2.848,296,9
chr2,PF3D7_0215900,0.995,-2.633,103,5
chr2,PF3D7_0216000,1,-0.504,440,16
chr2,PF3D7_0216100,0.121,-3.094,431,18
chr2,PF3D7_0216200,0.335,-2.444,134,10
chr2,PF3D7_0216300,0.129,-2.93,1277,28
chr2,PF3D7_0216400,0.122,-2.861,196,11
chr2,PF3D7_0216500,1,0.293,1117,28
chr2,PF3D7_0216600,0.178,-2.821,345,11
chr2,PF3D7_0216700,0.12,-2.998,448,15
chr2,PF3D7_0216800,0.399,-2.547,431,9
chr2,PF3D7_0216900,1,0.104,454,24
chr2,PF3D7_0217000,1,0.002,434,18
chr2,PF3D7_0217100,0.141,-2.779,52,3
chr2,PF3D7_0217200,0.198,-2.728,639,17
chr2,PF3D7_0217300,0.198,0,9,3
chr2,PF3D7_0217400,0.138,-2.82,51,4
chr2,PF3D7_0217500,0.27,-2.631,21,1
chr2,PF3D7_0217600,0.172,-2.811,728,27
chr2,PF3D7_0217700,0.668,-3.009,122,6
chr2,PF3D7_0217800,0.169,-2.899,4,2
chr2,PF3D7_0217900,0.123,-2.997,371,21
chr2,PF3D7_0218000,0.12,-3.168,45,2
chr2,PF3D7_0218100,0.145,-2.86,106,5
chr2,PF3D7_0218200,1,-1.565,447,13
chr2,PF3D7_0218300,0.97,-2.069,159,9
chr2,PF3D7_0218400,0.126,-3.044,176,6
chr2,PF3D7_0218500,0.165,-3.319,14,1
chr2,PF3D7_0218600,0.84,-3.005,1542,22
chr2,PF3D7_0218700,0.127,-3.175,174,12
chr2,PF3D7_0219100,1,0.843,183,7
chr2,PF3D7_0219200,0.125,-3.066,4,1
chr2,PF3D7_0219300,0.923,0,63,6
chr2,PF3D7_0219400,0.146,-3.231,5,2
chr2,PF3D7_0219500,1,-1.492,89,3
chr2,PF3D7_0219600,0.125,-2.912,213,11
chr2,PF3D7_0219700,0.137,-3.471,137,14
chr2,PF3D7_0219800,1,-2.084,139,11
chr2,PF3D7_0219900,0.228,-3.439,89,13
chr2,PF3D7_0220000,1,-0.002,45,0
chr2,PF3D7_0220100,0.125,-3.131,580,42
chr2,PF3D7_0220200,0.339,-3.604,22,2
chr2,PF3D7_0220300,0.817,-2.119,33,14
chr2,PF3D7_0220400,1,-1.511,,
chr2,PF3D7_0220500,0.126,-3.119,23,4
chr2,PF3D7_0220600,0.132,-3.046,54,5
chr2,PF3D7_0220700,0.124,-2.734,109,11
chr2,PF3D7_0220800,1,0.04,1351,69
chr2,PF3D7_0220900,0.389,-3.298,,
chr2,PF3D7_0221000,0.997,-2.773,192,23
chr2,PF3D7_0221100,0.979,-2.744,,
chr2,PF3D7_0221200,0.94,-2.907,94,28
chr2,PF3D7_0221300,0.135,-2.91,,
chr2,PF3D7_0221400,0.861,-2.451,135,17
chr2,PF3D7_0221500,0.122,-2.964,,
chr2,PF3D7_0221600,0.124,-2.84,,
chr2,PF3D7_0221700,0.999,-0.891,,
chr2,PF3D7_0221800,0.12,-3.079,,
chr2,PF3D7_0221900,1,-0.998,,
chr2,PF3D7_0222000,0.127,-2.783,,
chr2,PF3D7_0222100,1,-0.777,,
chr2,PF3D7_0222200,0.795,-2.999,,
chr2,PF3D7_0222300,0.126,-2.935,,
chr2,PF3D7_0222400,0.885,-2.189,,
chr2,PF3D7_0222500,0.691,-2.535,,
chr2,PF3D7_0222600,0.754,-2.463,,
chr2,PF3D7_0222700,0.647,-2.297,,
chr2,PF3D7_0222800,0.256,-2.511,,
chr2,PF3D7_0222900,0.754,-2.487,,
chr2,PF3D7_0223100,0.18,-2.762,,
chr2,PF3D7_0223200,1,-1.645,,
chr2,PF3D7_0223300,0.943,-2.01,,
chr2,PF3D7_0223400,0.344,-2.339,,
chr3,PF3D7_0300100,1,0.144,,
chr3,PF3D7_0300200,0.126,-3.038,,
chr3,PF3D7_0300300,0.784,-2.186,,
chr3,PF3D7_0300400,0.561,-2.368,,
chr3,PF3D7_0300500,0.997,-2.175,,
chr3,PF3D7_0300600,0.128,-2.728,,
chr3,PF3D7_0300700,0.982,-2.016,,
chr3,PF3D7_0300800,0.999,-1.649,,
chr3,PF3D7_0300900,0.274,-2.663,,
chr3,PF3D7_0301000,0.121,-2.996,274,19
chr3,PF3D7_0301100,0.124,-3.204,156,13
chr3,PF3D7_0301200,0.129,-3.073,130,14
chr3,PF3D7_0301300,0.981,-1.86,108,11
chr3,PF3D7_0301400,0.171,-2.773,140,25
chr3,PF3D7_0301500,0.12,-3.127,127,14
chr3,PF3D7_0301600,0.996,-2.439,464,45
chr3,PF3D7_0301700,0.898,-2.273,74,6
chr3,PF3D7_0301800,0.32,-2.725,83,10
chr3,PF3D7_0301900,0.141,-3.159,107,12
chr3,PF3D7_0302000,0.124,-3.009,206,21
chr3,PF3D7_0302100,0.991,-2.546,514,28
chr3,PF3D7_0302200,0.932,-2.926,4,0
chr3,PF3D7_0302300,1,-0.99,,
chr3,PF3D7_0302500,1,-2.547,10,0
chr3,PF3D7_0302600,1,-1.805,983,49
chr3,PF3D7_0302700,0.12,-2.948,33,2
chr3,PF3D7_0302800,0.12,-3.069,176,11
chr3,PF3D7_0302900,0.127,-3.224,136,9
chr3,PF3D7_0303000,0.186,-3.241,247,9
chr3,PF3D7_0303100,1,-0.478,947,36
chr3,PF3D7_0303200,0.409,-2.458,347,10
chr3,PF3D7_0303300,0.147,-3.103,20,1
chr3,PF3D7_0303400,0.127,-3.224,112,6
chr3,PF3D7_0303500,0.124,-2.943,643,14
chr3,PF3D7_0303600,0.185,-3.715,75,2
chr3,PF3D7_0303700,0.576,-3.123,198,16
chr3,PF3D7_0303800,0.96,-2.875,209,13
chr3,PF3D7_0303900,0.993,-2.694,74,4
chr3,PF3D7_0304000,1,-2.253,331,14
chr3,PF3D7_0304100,0.858,-2.319,219,13
chr3,PF3D7_0304200,0.73,0.766,25,2
chr3,PF3D7_0304300,1,0.257,924,22
chr3,PF3D7_0304400,0.981,-2.234,4,1
chr3,PF3D7_0304500,0.418,-2.494,23,1
chr3,PF3D7_0304600,0.962,-2.132,273,26
chr3,PF3D7_0304700,1,-0.931,397,44
chr3,PF3D7_0304800,0.14,-2.945,749,26
chr3,PF3D7_0304900,0.2,-2.864,40,1
chr3,PF3D7_0305000,0.154,-2.741,121,5
chr3,PF3D7_0305100,1,-1.219,839,5
chr3,PF3D7_0305200,1,-0.894,153,5
chr3,PF3D7_0305300,1,-1.973,506,12
chr3,PF3D7_0305400,0.12,-2.994,26,1
chr3,PF3D7_0305500,0.12,-3.068,1663,32
chr3,PF3D7_0305600,0.166,-2.904,257,13
chr3,PF3D7_0305700,0.202,0,22,1
chr3,PF3D7_0305800,1,0.524,749,28
chr3,PF3D7_0305900,0.145,-2.704,88,2
chr3,PF3D7_0306000,0.91,-2.849,33,3
chr3,PF3D7_0306100,0.125,-2.924,448,22
chr3,PF3D7_0306200,0.854,-3.363,134,5
chr3,PF3D7_0306300,0.134,-3.137,35,2
chr3,PF3D7_0306400,0.988,-2.349,93,5
chr3,PF3D7_0306500,0.174,-2.693,79,4
chr3,PF3D7_0306600,0.119,-3.029,20,2
chr3,PF3D7_0306700,0.449,-3.391,29,3
chr3,PF3D7_0306800,0.191,-2.7,59,2
chr3,PF3D7_0306900,0.139,-2.925,6,1
chr3,PF3D7_0307100,0.474,-2.312,17,1
chr3,PF3D7_0307200,0.137,-3.165,45,3
chr3,PF3D7_0307300,1,-1.844,240,11
chr3,PF3D7_0307400,0.12,-3.078,121,3
chr3,PF3D7_0307500,0.12,-2.971,115,8
chr3,PF3D7_0307600,0.923,-1.227,573,21
chr3,PF3D7_0307700,0.776,-2.472,610,21
chr3,PF3D7_0307800,0.152,-2.753,142,10
chr3,PF3D7_0307900,1,-1.196,1205,4
chr3,PF3D7_0308000,0.129,-2.834,96,3
chr3,PF3D7_0308100,1,0.095,2618,27
chr3,PF3D7_0308200,0.134,-3.235,48,2
chr3,PF3D7_0308300,0.122,-2.985,207,15
chr3,PF3D7_0308500,0.46,-2.208,39,2
chr3,PF3D7_0308600,0.145,-2.928,129,6
chr3,PF3D7_0308700,0.121,-2.862,258,10
chr3,PF3D7_0308800,0.519,-2.639,46,3
chr3,PF3D7_0308900,0.12,-2.922,604,33
chr3,PF3D7_0309000,0.13,-2.824,188,9
chr3,PF3D7_0309100,1,0,45,5
chr3,PF3D7_0309200,0.199,-2.77,916,11
chr3,PF3D7_0309300,1,-0.694,41,2
chr3,PF3D7_0309500,1,-2.521,88,5
chr3,PF3D7_0309600,0.132,-3.225,20,1
chr3,PF3D7_0309700,1,0.173,350,10
chr3,PF3D7_0309800,0.281,-2.656,66,3
chr3,PF3D7_0309900,1,-0.484,809,26
chr3,PF3D7_0310000,0.137,-2.751,92,5
chr3,PF3D7_0310100,1,-3.018,75,5
chr3,PF3D7_0310200,1,-2.583,46,0
chr3,PF3D7_0310300,1,0.153,285,15
chr3,PF3D7_0310400,0.192,-2.732,388,18
chr3,PF3D7_0310500,0.979,-2.667,1162,35
chr3,PF3D7_0310600,0.211,-3.232,65,3
chr3,PF3D7_0310700,0.133,-2.731,15,1
chr3,PF3D7_0310800,0.138,-3.06,21,3
chr3,PF3D7_0310900,0.191,-2.707,285,11
chr3,PF3D7_0311000,0.123,-3.032,56,12
chr3,PF3D7_0311100,1,-2.076,380,19
chr3,PF3D7_0311200,0.12,-2.924,771,22
chr3,PF3D7_0311300,0.134,-2.974,199,9
chr3,PF3D7_0311400,1,-2.03,1399,31
chr3,PF3D7_0311500,0.754,0.908,10,1
chr3,PF3D7_0311600,0.136,-3.075,334,16
chr3,PF3D7_0311700,1,-0.936,77,8
chr3,PF3D7_0311800,0.12,-3.078,81,4
chr3,PF3D7_0311900,0.12,-3.078,706,49
chr3,PF3D7_0312000,0.411,-2.236,29,2
chr3,PF3D7_0312100,0.169,-2.759,343,14
chr3,PF3D7_0312200,1,-2.202,622,23
chr3,PF3D7_0312300,0.129,-3.194,57,2
chr3,PF3D7_0312400,0.152,-2.791,42,2
chr3,PF3D7_0312500,1,-1.543,291,7
chr3,PF3D7_0312800,0.119,-3.099,11,1
chr3,PF3D7_0312900,0.989,-1.991,146,5
chr3,PF3D7_0313000,0.999,-1.935,199,11
chr3,PF3D7_0313100,0.276,-2.628,172,8
chr3,PF3D7_0313200,0.372,-2.587,64,1
chr3,PF3D7_0313300,0.12,-3.133,57,4
chr3,PF3D7_0313400,0.155,-2.815,532,20
chr3,PF3D7_0313500,0.12,-3.123,528,30
chr3,PF3D7_0313600,0.814,-2.108,1028,23
chr3,PF3D7_0313700,0.128,-2.975,97,7
chr3,PF3D7_0313800,0.126,-3.084,241,8
chr3,PF3D7_0313900,1,-1.457,1064,26
chr3,PF3D7_0314000,0.682,-2.312,42,2
chr3,PF3D7_0314100,0.12,-2.94,42,4
chr3,PF3D7_0314200,0.143,-3.219,775,25
chr3,PF3D7_0314300,0.141,-3.281,95,5
chr3,PF3D7_0314400,0.12,-3.016,12,1
chr3,PF3D7_0314500,0.985,-2.054,55,1
chr3,PF3D7_0314600,1,-0.404,114,6
chr3,PF3D7_0314700,1,-0.196,501,22
chr3,PF3D7_0314800,0.12,-2.971,438,15
chr3,PF3D7_0314900,1,0.431,184,10
chr3,PF3D7_0315000,0.608,-2.548,31,4
chr3,PF3D7_0315100,0.335,-2.613,13,1
chr3,PF3D7_0315200,1,0.068,654,25
chr3,PF3D7_0315300,1,-2.563,638,21
chr3,PF3D7_0315400,0.119,-3.044,83,5
chr3,PF3D7_0315500,0.282,-3.718,34,2
chr3,PF3D7_0315600,1,0.353,220,7
chr3,PF3D7_0315700,1,0.319,165,9
chr3,PF3D7_0315800,0.998,0.28,175,8
chr3,PF3D7_0315900,0.123,-3.175,34,2
chr3,PF3D7_0316000,0.162,-3.384,97,10
chr3,PF3D7_0316100,0.134,-3.139,90,4
chr3,PF3D7_0316200,1,-1.923,2467,50
chr3,PF3D7_0316300,0.971,-2.948,80,3
chr3,PF3D7_0316400,0.381,-2.514,361,13
